Frame_No,Template_No,x,y,mx,my
90,1,100,237,100.00749,231.74312
90,2,215,226,216.12852,219.63947
90,3,368,194,370.8487,186.41103
90,4,675,218,679.05066,208.38353
90,5,1062,48,1059.2819,38.768635
90,6,818,434,822.48047,421.83508
91,1,100,237,99.9931,232.03418
91,2,215,226,216.10489,219.98804
91,3,368,194,370.97244,186.70543
91,4,675,218,679.1172,208.71498
91,5,1062,48,1059.0208,39.200195
91,6,818,434,822.6698,422.0834
92,1,100,237,100.15047,232.084
92,2,215,226,216.23128,220.02391
92,3,368,194,370.91437,186.72362
92,4,675,218,679.07745,208.63754
92,5,1062,48,1058.7834,38.806076
92,6,818,434,822.71375,421.93066
93,1,100,237,100.67797,232.2896
93,2,215,226,216.45438,220.08601
93,3,368,194,371.0023,186.72844
93,4,675,218,678.8703,208.42043
93,5,1062,48,1058.999,38.39089
93,6,818,434,823.09827,421.63107
94,1,100,237,100.41966,232.16595
94,2,215,226,216.36609,220.13283
94,3,368,194,370.83157,186.76308
94,4,675,218,678.50323,208.28822
94,5,1062,48,1058.8125,37.752983
94,6,818,434,822.7264,421.6972
95,1,100,237,100.490776,232.127
95,2,215,226,216.35535,220.10126
95,3,368,194,370.8494,186.75383
95,4,675,218,678.4536,207.91325
95,5,1062,48,1059.0052,37.44528
95,6,818,434,822.5499,421.72678
96,1,100,237,100.443275,232.12103
96,2,215,226,216.34158,220.07198
96,3,368,194,370.867,186.74512
96,4,675,218,678.39764,207.93881
96,5,1062,48,1058.9178,37.50138
96,6,818,434,822.1561,421.65588
97,1,100,237,100.419106,232.08305
97,2,215,226,216.32675,220.0389
97,3,368,194,370.84274,186.74385
97,4,675,218,678.3578,207.93788
97,5,1062,48,1058.59,37.98704
97,6,818,434,822.35803,421.68234
98,1,100,237,100.57051,231.69667
98,2,215,226,216.37903,219.53856
98,3,368,194,370.67923,186.20732
98,4,675,218,678.3424,207.69301
98,5,1062,48,1058.3861,37.969635
98,6,818,434,822.18866,421.42355
99,1,100,237,100.63324,231.8667
99,2,215,226,216.39594,219.66742
99,3,368,194,370.6797,186.42563
99,4,675,218,678.19196,208.13347
99,5,1062,48,1058.7699,38.688145
99,6,818,434,822.1071,421.95624
100,1,100,237,100.528404,231.36815
100,2,215,226,216.3843,219.3728
100,3,368,194,370.66858,186.38243
100,4,675,218,678.16785,208.16295
100,5,1062,48,1058.7721,38.685898
100,6,818,434,821.97437,422.11612
101,1,100,237,100.59328,231.35321
101,2,215,226,216.5067,219.60078
101,3,368,194,370.80838,186.57512
101,4,675,218,678.0668,208.74513
101,5,1062,48,1058.7709,39.432762
101,6,818,434,821.58777,422.42902
102,1,100,237,100.10618,231.4975
102,2,215,226,216.06804,219.65524
